"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE","18_DOC. IDENTITAT","19_CP","23_PARENTIU RESP. 1","24_DOC. IDENTITAT RESP. 1","25_ADREÇA RESP. 1","26_LOCALITAT RESP. 1","27_MUNICIPI RESP. 1","28_CP RESP. 1","29_PARENTIU RESP. 2","30_DOC. IDENTITAT RESP. 2","31_ADREÇA RESP. 2","32_LOCALITAT RESP. 2","33_MUNICIPI RESP. 2","34_CP RESP. 2"
"1","14857413623","Cortes Muñoz, Nerea","08/03/2011","Camps Cortes, Pau","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Gallego Villar, Erik","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Erik Gallego Villar","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","70246859F","85593","Pare","78913020G","c/ de l'aviador Erik Gallego Villar","L'Armentera","Albanyà","76389","Pare","76514391M","c/ de l'aviador Erik Gallego Villar","L'Armentera","Albanyà","14513"
"1","94507044606","Ramon Mendoza, Mario","26/07/2005","Singh Domingo, Gerard","+34 XXXXXXX","+34 XXXXXXX","gerard@mailintaor.com","Gutierrez Arenas, Isaac","+34 XXXXZZZZ","+34 XXXXLLL","isaac@mailintaor.com","c/ de l'aviador Isaac Gutierrez Arenas","L'Armentera","Albanyà","mario@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","71372517P","01636","Mare","74274884P","c/ de l'aviador Isaac Gutierrez Arenas","L'Armentera","Albanyà","97678","Pare","77208727B","c/ de l'aviador Isaac Gutierrez Arenas","L'Armentera","Albanyà","39858"
"1","73825007330","Sole Navas, Jaume","18/04/2009","Ortiz Aguilar, Gerard","+34 XXXXXXX","+34 XXXXXXX","gerard@mailintaor.com","Codina Gallego, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Eloi Codina Gallego","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","71459231N","60786","Pare","77697224F","c/ de l'aviador Eloi Codina Gallego","L'Armentera","Albanyà","47395","Pare","74701723M","c/ de l'aviador Eloi Codina Gallego","L'Armentera","Albanyà","97286"
"1","91428661013","Asensio Quesada, Abril","12/03/2009","Marcos Duran, Iker","+34 XXXXXXX","+34 XXXXXXX","iker@mailintaor.com","Rodriguez Millan, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","jordi@mailintaor.com","c/ de l'aviador Jordi Rodriguez Millan","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","78379107R","49448","Mare","74658487F","c/ de l'aviador Jordi Rodriguez Millan","L'Armentera","Albanyà","65996","Mare","77491037T","c/ de l'aviador Jordi Rodriguez Millan","L'Armentera","Albanyà","66166"
"1","53460162790","Izquierdo Abad, Daniel","22/07/2012","Plaza Riera, Gisela","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Cruz Escudero, Ariadna","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Ariadna Cruz Escudero","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","76866934R","18807","Mare","78640407R","c/ de l'aviador Ariadna Cruz Escudero","L'Armentera","Albanyà","34815","Pare","73101315R","c/ de l'aviador Ariadna Cruz Escudero","L'Armentera","Albanyà","30264"
"1","67744038628","Sans Rubio, Aleix","29/05/2005","Amaya Medina, Samuel","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Asensio Marquez, Sergio","+34 XXXXZZZZ","+34 XXXXLLL","sergio@mailintaor.com","c/ de l'aviador Sergio Asensio Marquez","L'Armentera","Albanyà","aleix@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","74533699Y","71538","Mare","72295526G","c/ de l'aviador Sergio Asensio Marquez","L'Armentera","Albanyà","63390","Mare","70257686M","c/ de l'aviador Sergio Asensio Marquez","L'Armentera","Albanyà","65693"
"1","65716036953","Vives Oliva, Adrià","10/01/2007","Ferrer Aguilar, Mireia","+34 XXXXXXX","+34 XXXXXXX","mireia@mailintaor.com","Pacheco Moya, Clara","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Clara Pacheco Moya","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","73025646M","31105","Mare","79920025A","c/ de l'aviador Clara Pacheco Moya","L'Armentera","Albanyà","86210","Mare","75182286X","c/ de l'aviador Clara Pacheco Moya","L'Armentera","Albanyà","50315"
"1","94207129464","Carrera Benito, Max","31/12/2008","Bosch Garcia, Samuel","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Gracia Benito, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","hugo@mailintaor.com","c/ de l'aviador Hugo Gracia Benito","L'Armentera","Albanyà","max@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","71110536A","07479","Mare","74191126D","c/ de l'aviador Hugo Gracia Benito","L'Armentera","Albanyà","51594","Mare","70150055R","c/ de l'aviador Hugo Gracia Benito","L'Armentera","Albanyà","23852"
"1","93018477299","Andreu Casas, Ainara","15/11/2011","Valle Velasco, Alejandro","+34 XXXXXXX","+34 XXXXXXX","alejandro@mailintaor.com","Marin Bravo, Gerard","+34 XXXXZZZZ","+34 XXXXLLL","gerard@mailintaor.com","c/ de l'aviador Gerard Marin Bravo","L'Armentera","Albanyà","ainara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","73716114G","97729","Pare","72036924B","c/ de l'aviador Gerard Marin Bravo","L'Armentera","Albanyà","33732","Mare","77730370A","c/ de l'aviador Gerard Marin Bravo","L'Armentera","Albanyà","32116"
"1","71143471609","Carbonell Ros, Carlota","30/01/2012","Barrera Peña, Joan","+34 XXXXXXX","+34 XXXXXXX","joan@mailintaor.com","Pardo Hurtado, Sergi","+34 XXXXZZZZ","+34 XXXXLLL","sergi@mailintaor.com","c/ de l'aviador Sergi Pardo Hurtado","L'Armentera","Albanyà","carlota@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","77771467F","97258","Pare","74255975R","c/ de l'aviador Sergi Pardo Hurtado","L'Armentera","Albanyà","87204","Mare","73490320F","c/ de l'aviador Sergi Pardo Hurtado","L'Armentera","Albanyà","20624"
