"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÃˆFON RESP. 1","05_MÃ’BIL RESP. 1","06_ADREÃ‡A ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÃˆFON RESP. 2","09_MÃ’BIL RESP. 2","10_ADREÃ‡A ELECTR. RESP. 2","11_ADREÃ‡A","12_LOCALITAT","13_CORREU ELECTRÃ’NIC","14_ALTRES TELÃˆFONS","15_CENTRE PROCEDÃˆNCIA","16_GRUPSCLASSE"
"1","70192671744","Plaza Barrera, Leire","17/02/1991","Salvador Fernandez, Biel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ivet Castells Casas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","biel@mailintaor.com","c/ de l'aviador Ivet Castells Casas","L'Armentera","leire@mailintaor.com","","La Salle","ESO1A"
"1","23331731719","Colomer Singh, Leyre","24/09/1990","Hernandez Farre, Mar","+34 XXXXXXX","+34 XXXXXXX","c/ del General Paula Ponce Rovira","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mar@mailintaor.com","c/ de l'aviador Paula Ponce Rovira","L'Armentera","leyre@mailintaor.com","","La Salle","ESO1A"
"1","71853843707","Izquierdo Ventura, Alba","28/10/1993","Roldan Requena, Ferran","+34 XXXXXXX","+34 XXXXXXX","c/ del General Bernat Mendez Gomez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Bernat Mendez Gomez","L'Armentera","alba@mailintaor.com","","La Salle","ESO1A"
"1","41074257851","Herrera Oliver, Adrià","17/10/1998","Gracia Blanch, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","c/ del General Lucía Saez Lazaro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Lucía Saez Lazaro","L'Armentera","adria@mailintaor.com","","La Salle","ESO1A"
"1","28981835627","Ros Cortes, Alexandra","07/04/1994","Dalmau Ventura, Ayman","+34 XXXXXXX","+34 XXXXXXX","c/ del General Víctor Camacho Andres","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ayman@mailintaor.com","c/ de l'aviador Víctor Camacho Andres","L'Armentera","alexandra@mailintaor.com","","La Salle","ESO1A"
"1","20666936512","Santiago Pla, Martina","03/10/1993","Navas Rico, Inés","+34 XXXXXXX","+34 XXXXXXX","c/ del General Aleix Andres Macias","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Aleix Andres Macias","L'Armentera","martina@mailintaor.com","","La Salle","ESO1A"
"1","78360881129","Sole Hidalgo, Sara","25/10/1996","Leon Aguilera, Joel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Anna Lozano Egea","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Anna Lozano Egea","L'Armentera","sara@mailintaor.com","","La Salle","ESO1A"
"1","74930391737","Valle Escudero, Daniel","20/07/1999","Roig Arenas, Aya","+34 XXXXXXX","+34 XXXXXXX","c/ del General Gerard Espinosa Herrero","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador Gerard Espinosa Herrero","L'Armentera","daniel@mailintaor.com","","La Salle","ESO1A"
"1","13177215809","Gallardo Salas, Aitor","23/06/1990","Redondo Ibañez, Max","+34 XXXXXXX","+34 XXXXXXX","c/ del General Oriol Ortiz Aranda","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","max@mailintaor.com","c/ de l'aviador Oriol Ortiz Aranda","L'Armentera","aitor@mailintaor.com","","La Salle","ESO1A"
"1","21254516564","Navas Sala, Joan","19/11/1997","Herrera Aparicio, Jan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Martí Guzman Jimenez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Martí Guzman Jimenez","L'Armentera","joan@mailintaor.com","","La Salle","ESO1A"
